
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15 | ; 2014-05-22 18:30:05; uid=20130916171725; uic=60; IP=46.216.64.166; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-24 19:51:07; uid=20140514203119; uic=478; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-24 19:51:22; uid=20140514203119; uic=479; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-24 19:52:13; uid=20140514203119; uic=480; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-24 19:52:47; uid=20140514203119; uic=481; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-24 19:55:01; uid=20140514203119; uic=482; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-24 19:55:46; uid=20140514203119; uic=483; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15 | ; 2014-05-24 19:56:51; uid=20140413191504; uic=22; IP=86.57.196.118; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-24 19:57:02; uid=20140514203119; uic=484; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-24 19:57:23; uid=20140514203119; uic=485; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-24 19:58:10; uid=20140514203119; uic=486; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15 | ; 2014-05-24 19:58:21; uid=20140413191504; uic=23; IP=86.57.196.118; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15 | ; 2014-05-24 19:58:48; uid=20140413191504; uic=24; IP=86.57.196.118; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-24 19:59:11; uid=20140514203119; uic=487; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15 | ; 2014-05-24 20:00:12; uid=20140413191504; uic=25; IP=86.57.196.118; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15 | ; 2014-05-24 20:00:25; uid=20140413191504; uic=26; IP=86.57.196.118; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (iPad; CPU OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25 | ; 2014-05-24 20:15:43; uid=20130702233232; uic=31; IP=86.57.186.211; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36 | ; 2014-05-24 20:20:04; uid=20140524194312; uic=13; IP=93.85.189.201; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36 | ; 2014-05-24 22:35:30; uid=20140524175814; uic=18; IP=87.252.227.34; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-24 23:11:18; uid=20140514203119; uic=488; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-24 23:11:50; uid=20140514203119; uic=489; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-24 23:12:32; uid=20140514203119; uic=490; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-24 23:13:55; uid=20140514203119; uic=491; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Linux; Android 4.2.2; Novo 10 Captain QuadCore Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.114 Safari/537.36 | ; 2014-05-24 23:31:55; uid=20140524182325; uic=9; IP=178.124.201.21; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-24 23:35:29; uid=20140514203119; uic=492; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-24 23:36:56; uid=20140514203119; uic=493; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-24 23:56:34; uid=20140514203119; uic=494; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-24 23:57:07; uid=20140514203119; uic=495; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-24 23:57:12; uid=20140514203119; uic=495; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-24 23:59:00; uid=20140514203119; uic=496; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-24 23:59:31; uid=20140514203119; uic=497; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-25 00:06:36; uid=20140514203119; uic=498; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-25 00:07:00; uid=20140514203119; uic=499; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-25 00:07:29; uid=20140514203119; uic=500; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-25 00:08:22; uid=20140514203119; uic=501; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-25 00:08:50; uid=20140514203119; uic=502; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-25 00:11:29; uid=20140514203119; uic=503; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-25 00:13:12; uid=20140514203119; uic=504; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-25 00:14:48; uid=20140514203119; uic=505; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-25 00:16:24; uid=20140514203119; uic=506; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-25 00:16:38; uid=20140514203119; uic=507; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-25 00:24:05; uid=20140514203119; uic=508; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-25 00:24:30; uid=20140514203119; uic=509; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-25 00:24:59; uid=20140514203119; uic=510; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-25 00:38:55; uid=20140514203119; uic=511; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-25 00:39:19; uid=20140514203119; uic=512; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-25 00:39:43; uid=20140514203119; uic=513; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-25 00:39:59; uid=20140514203119; uic=514; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-25 00:43:20; uid=20140514203119; uic=515; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-25 00:44:32; uid=20140514203119; uic=516; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-25 01:05:15; uid=20140514203119; uic=517; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36 | ; 2014-05-25 02:00:09; uid=20140525014128; uic=21; IP=178.124.202.113; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36 | ; 2014-05-25 02:05:09; uid=20140525014128; uic=23; IP=178.124.202.113; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 5.1) Presto/2.12.388 Version/12.16 | ; 2014-05-25 10:21:37; uid=20140525100725; uic=15; IP=178.124.194.122; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.17 | ; 2014-05-25 10:36:45; uid=20131117095125; uic=423; IP=93.85.133.121; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 5.1) Presto/2.12.388 Version/12.16 | ; 2014-05-25 10:57:50; uid=20140525100725; uic=31; IP=178.124.194.122; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 5.1) Presto/2.12.388 Version/12.16 | ; 2014-05-25 10:59:39; uid=20140525100725; uic=32; IP=178.124.194.122; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.22 Safari/537.36 OPR/16.0.1196.14 (Edition Next) | ; 2014-05-25 11:31:17; uid=20140425203023; uic=108; IP=93.84.22.52; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36 | ; 2014-05-25 11:32:14; uid=20140519204043; uic=17; IP=86.57.185.104; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36 | ; 2014-05-25 11:36:44; uid=20140519204043; uic=25; IP=86.57.185.104; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.14 | ; 2014-05-25 11:53:56; uid=20140516220208; uic=92; IP=46.53.193.208; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0 | ; 2014-05-25 11:55:27; uid=20140317092440; uic=24; IP=86.57.198.3; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.14 | ; 2014-05-25 11:59:11; uid=20140516220208; uic=100; IP=46.53.193.208; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Linux; Android 4.3; GT-I9300 Build/JSS15J) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.94 Mobile Safari/537.36 | ; 2014-05-25 12:10:12; uid=20140521220306; uic=21; IP=37.17.31.44; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Linux; Android 4.3; GT-I9300 Build/JSS15J) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.94 Mobile Safari/537.36 | ; 2014-05-25 12:15:31; uid=20140521220306; uic=29; IP=37.17.31.44; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (iPad; CPU OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko ) Version/5.1 Mobile/9B176 Safari/7534.48.3 | ; 2014-05-25 12:27:40; uid=20140312011703; uic=64; IP=93.125.107.31; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (iPad; CPU OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko ) Version/5.1 Mobile/9B176 Safari/7534.48.3 | ; 2014-05-25 12:27:56; uid=20140312011703; uic=65; IP=93.125.107.31; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36 OPR/20.0.1387.64 | ; 2014-05-25 12:31:09; uid=20140525090437; uic=18; IP=86.57.199.95; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Android; Opera Mini/7.5.35199/34.2152; U; ru) Presto/2.8.119 Version/11.10 | ; 2014-05-25 12:31:28; uid=20140525122445; uic=8; IP=82.145.218.185; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Android; Opera Mini/7.5.35199/34.2152; U; ru) Presto/2.8.119 Version/11.10 | ; 2014-05-25 12:31:51; uid=20140525122445; uic=9; IP=82.145.218.185; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36 | ; 2014-05-25 12:58:11; uid=20140213112806; uic=84; IP=93.84.48.5; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36 | ; 2014-05-25 13:05:48; uid=20140522175525; uic=120; IP=46.53.195.152; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36 | ; 2014-05-25 13:09:49; uid=20140522175525; uic=126; IP=46.53.195.152; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36 | ; 2014-05-25 13:42:40; uid=20140525132845; uic=7; IP=134.17.144.142; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Linux; Android 4.2.2; K00F Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.114 Safari/537.36 | ; 2014-05-25 14:07:21; uid=20140512125156; uic=8; IP=93.84.24.250; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36 | ; 2014-05-25 14:11:51; uid=20140329075942; uic=34; IP=178.124.111.129; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 5.1) Presto/2.12.388 Version/12.12 | ; 2014-05-25 14:15:52; uid=20140120014824; uic=46; IP=86.57.198.57; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 5.1) Presto/2.12.388 Version/12.12 | ; 2014-05-25 14:16:01; uid=20140120014824; uic=47; IP=86.57.198.57; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 5.1) Presto/2.12.388 Version/12.12 | ; 2014-05-25 14:17:01; uid=20140120014824; uic=48; IP=86.57.198.57; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36 | ; 2014-05-25 14:21:54; uid=20140329075942; uic=35; IP=178.124.111.129; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0 | ; 2014-05-25 14:30:00; uid=20140430152322; uic=10; IP=185.6.25.13; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36 | ; 2014-05-25 15:10:49; uid=20140204222048; uic=68; IP=178.172.183.172; page=/ad-form//
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 5.1; rv:29.0) Gecko/20100101 Firefox/29.0 | ; 2014-05-25 16:28:30; uid=20140331123956; uic=50; IP=46.216.8.166; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36 | ; 2014-05-25 16:41:30; uid=20140511102020; uic=22; IP=93.85.166.178; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-25 16:48:58; uid=20140516194231; uic=22; IP=37.214.188.119; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-25 16:49:32; uid=20140516194231; uic=23; IP=37.214.188.119; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.132 Safari/537.36 OPR/21.0.1432.67 | ; 2014-05-25 17:01:26; uid=20140511191528; uic=27; IP=46.216.244.140; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.132 Safari/537.36 OPR/21.0.1432.67 | ; 2014-05-25 17:01:37; uid=20140511191528; uic=28; IP=46.216.244.140; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36 | ; 2014-05-25 17:21:46; uid=20140525170405; uic=7; IP=91.149.173.61; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36 | ; 2014-05-25 17:27:41; uid=20140228110434; uic=153; IP=93.84.24.102; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36 | ; 2014-05-25 17:29:26; uid=20140417104716; uic=8; IP=184.168.46.91; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Linux; U; Android 4.0.3; ru-ru; ARMIX PAD-915 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30 | ; 2014-05-25 17:32:17; uid=20140110233723; uic=15; IP=86.57.192.141; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36 | ; 2014-05-25 17:34:16; uid=20140228110434; uic=166; IP=93.84.24.102; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Linux; U; Android 4.0.3; ru-ru; ARMIX PAD-915 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30 | ; 2014-05-25 17:38:13; uid=20140110233723; uic=19; IP=86.57.192.141; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:29.0) Gecko/20100101 Firefox/29.0 | ; 2014-05-25 17:44:49; uid=20140413215105; uic=223; IP=93.85.177.221; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-25 18:59:54; uid=20140326203454; uic=52; IP=178.124.204.255; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Linux; U; Android 4.1.2; ru-ru; GT-N8000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30 | ; 2014-05-25 19:25:23; uid=20131121000255; uic=53; IP=37.17.113.103; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Linux; U; Android 4.1.2; ru-ru; GT-N8000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30 | ; 2014-05-25 19:27:55; uid=20131121000255; uic=54; IP=37.17.113.103; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Linux; U; Android 4.1.2; ru-ru; GT-N8000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30 | ; 2014-05-25 19:52:20; uid=20131121000255; uic=59; IP=37.17.113.103; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Linux; U; Android 4.1.2; ru-ru; GT-N8000 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30 | ; 2014-05-25 20:07:20; uid=20131121000255; uic=63; IP=37.17.113.103; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.17 | ; 2014-05-25 21:09:32; uid=20140525174834; uic=24; IP=46.216.68.58; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36 | ; 2014-05-25 21:23:08; uid=20140513202540; uic=74; IP=93.85.147.79; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 5.1; rv:29.0) Gecko/20100101 Firefox/29.0 | ; 2014-05-25 21:58:35; uid=20140525213859; uic=5; IP=91.149.173.107; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 5.1; rv:29.0) Gecko/20100101 Firefox/29.0 | ; 2014-05-25 22:06:28; uid=20140525213859; uic=11; IP=91.149.173.107; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36 | ; 2014-05-25 22:13:26; uid=20140301212119; uic=21; IP=46.53.195.8; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 5.1; rv:29.0) Gecko/20100101 Firefox/29.0 | ; 2014-05-25 22:14:50; uid=20140525213859; uic=18; IP=91.149.173.107; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (iPad; CPU OS 6_1 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B141 Safari/8536.25 | ; 2014-05-25 23:26:59; uid=20140525230402; uic=2; IP=37.17.113.144; page=/ad-form//
Ошибка вход не выполнен.   | Mozilla/5.0 (iPad; CPU OS 6_1 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B141 Safari/8536.25 | ; 2014-05-25 23:42:48; uid=20140525230402; uic=12; IP=37.17.113.144; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (iPad; CPU OS 6_1 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B141 Safari/8536.25 | ; 2014-05-25 23:44:00; uid=20140525230402; uic=13; IP=37.17.113.144; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.75 Safari/537.36 MRCHROME | ; 2014-05-26 00:28:06; uid=20140518212338; uic=27; IP=178.126.23.33; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0 | ; 2014-05-26 07:18:10; uid=20140526070522; uic=9; IP=86.57.191.19; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Linux; Android 4.2.2; Andromeda S845 Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 YaBrowser/14.4.1750.13427.00 Safari/537.36 | ; 2014-05-26 07:37:26; uid=20140515130154; uic=54; IP=178.154.22.73; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; GTB7.5; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; InfoPath.2; .NET CLR 3.0.30618; .NET CLR 3.5.30729) | ; 2014-05-26 07:45:25; uid=20140526072808; uic=22; IP=37.17.31.173; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.59.10 (KHTML, like Gecko) Version/5.1.9 Safari/534.59.10 | ; 2014-05-26 08:05:36; uid=20140416144708; uic=80; IP=93.85.172.188; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (compatible; MSIE 10.0; Windows Phone 8.0; Trident/6.0; IEMobile/10.0; ARM; Touch; NOKIA; Lumia 520) | ; 2014-05-26 08:23:29; uid=20140522082343; uic=76; IP=46.216.246.6; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36 | ; 2014-05-26 08:47:40; uid=20140521190802; uic=16; IP=178.124.167.12; page=/ad-form/
